Video ID,Video title,Video publish date,Average percentage viewed (%),Average view duration,Views,Watch time (hours),Likes,MM Year,MM Week
KlmK588XfDc,Watch Me Viz - #MakeoverMonday 2020 Week 33 - Scottish Digital Companies,17/08/2020,17.35,0:09:07,376,57.168,30,2020,32
uX5cTdPCczI,Watch Me Viz - #MakeoverMonday 2020 Week 34 - Sexual and Reproductive Health,25/08/2020,22.7,0:14:34,182,44.2024,27,2020,34
cdDosWU-Qbk,Watch Me Viz - #MakeoverMonday 2020 Week 35 - Indian Batsmen vs. Left-Arm Pace Bowlers,02/09/2020,17.96,0:10:06,248,41.7512,24,2020,35
6_amPh3nbZ4,Watch Me Viz - #MakeoverMonday 2020 Week 36 - Calories & Sugar in Cereals,08/09/2020,14.38,0:10:07,201,33.9183,17,2020,36
BopXIESGhRE,Watch Me Viz - #MakeoverMonday 2020 Week 37 - Teacher Pay in the UK,15/09/2020,22.68,0:13:27,213,47.7685,15,2020,37
CKYCpK8qpq4,Watch Me Viz - #MakeoverMonday 2020 Week 38 - Pick Up A Book And Read,22/09/2020,13.89,0:14:09,302,71.2574,20,2020,38
7ixfc_j7UQ4,Watch Me Viz - #MakeoverMonday 2020 Week 39 - Child Marriage,29/09/2020,14.33,0:17:16,307,88.3915,27,2020,39
dR5mpiHs-sU,#MakeoverMonday Live - TC20 (Morning Session),05/10/2020,13.33,0:15:13,424,107.5708,25,2020,39
qSNKkRDlbwg,Watch Me Viz - #MakeoverMonday 2020 Week 41 - Data Assets and Data Culture Survey,13/10/2020,22.72,0:14:26,250,60.1806,25,2020,41
sxqmOp7Kf3M,Watch Me Viz - #MakeoverMonday 2020 Week 42 - Health Spending,20/10/2020,7.06,0:06:43,648,72.5469,22,2020,42
KRhQCHS32e8,Watch Me Viz - #MakeoverMonday 2020 Week 43 - Apparel Exports to the US,27/10/2020,17.02,0:15:55,182,48.3087,18,2020,43
62VLpnS0cfo,Watch Me Viz - #MakeoverMonday 2020 Week 44 - The Digital Gender Gap,02/11/2020,12.59,0:08:17,211,29.1682,11,2020,43
hE1-j9pN00Y,Watch Me Viz - #MakeoverMonday 2020 Week 45 - Dedicated Video Game Sales Units,10/11/2020,22.71,0:14:07,174,40.9585,10,2020,45
uJxVKJYLS_o,Watch Me Viz - #MakeoverMonday 2020 Week 46: The Growth of Internet Ad Spend - 2020 vs 2012,17/11/2020,11.54,0:09:32,425,67.544,34,2020,46
Izq5u8I5otw,Watch Me Viz - #MakeoverMonday 2020 Week 47: Why America's Debt Doesn't Stop Growing,25/11/2020,11.21,0:10:06,517,87.0563,23,2020,47
oDvlQwGPcDg,Watch Me Viz - #MakeoverMonday 2020 Week 48 - Operation Fistula's Pilot Program,01/12/2020,15.98,0:14:03,255,59.7127,21,2020,48
f-i0hWdTn58,Watch Me Viz - #MakeoverMonday 2020 Week 49 - Divergent Opinions on American-German Alliance,08/12/2020,15.56,0:10:44,191,34.217,8,2020,49
byjQK5_JXQM,Watch Me Viz - #MakeoverMonday 2020 Week 50 - The Work of Bob Ross,15/12/2020,19.86,0:14:00,159,37.1122,16,2020,50
fMmph64LgeA,Watch Me Viz - #MakeoverMonday 2021 Week 2 - Gender Inequality in HIV Infections in Adolescents,12/01/2021,19.91,0:13:34,236,53.4039,17,2021,2
pn79d24JAhY,Watch Me Viz - #MakeoverMonday 2021 Week 3 - What's Warming The Earth?,19/01/2021,24.89,0:15:39,146,38.1157,10,2021,3
ur3Vhs7Ceck,Watch Me Viz - #MakeoverMonday 2021 Week 4 - Indian Coal Mine Production,26/01/2021,24.4,0:14:43,176,43.1899,19,2021,4
s-6FpDhGDFo,Watch Me Viz - #MakeoverMonday 2021 Week 5 - Renewals vs. Fossil Fuels in Europe,02/02/2021,20.42,0:17:24,176,51.071,3,2021,5
hRqC8td7TpQ,Watch Me Viz - #MakeoverMonday 2021 Week 6 - Perceived Obstacles to Gender Equality,09/02/2021,16.03,0:14:48,237,58.4915,14,2021,6
O4xW96NB1TE,Watch Me Viz - #MakeoverMonday 2021 Week 7 - What's the point of Valentine's Day?,16/02/2021,19.91,0:12:13,202,41.1687,21,2021,7
9C-bIe4_fi4,Watch Me Viz - #MakeoverMonday 2021 Week 8 - Protests Against Limiting Abortion Rights in Poland,23/02/2021,16.76,0:12:01,178,35.6829,14,2021,8
rW__TspSb5w,Watch Me Viz - #MakeoverMonday 2021 Week 9 - Seats Held by Women in National Parliaments,02/03/2021,15.15,0:14:48,220,54.3017,9,2021,9
2h3GNOUzDdI,Watch Me Viz - #MakeoverMonday 2021 Week 10 - IOC Hits New Record with 47.7% Women,09/03/2021,17.06,0:15:15,186,47.3101,9,2021,10
COqdLxNAnLM,Watch Me Viz - #MakeoverMonday 2021 Week 11 - The World's Biggest Cash Crop,16/03/2021,19.56,0:16:00,199,53.0921,31,2021,11
8D9jk8MKM8g,Watch Me Viz - #MakeoverMonday 2021 Week 12 - The Cereal Industry Had A Weird Year,23/03/2021,17.18,0:14:06,204,47.9689,10,2021,12
WyqLRPZ3nlc,Watch Me Viz - #MakeoverMonday 2021 Week 13 - UK Exports to EU have plunged since Brexit,30/03/2021,17.01,0:12:43,170,36.0646,17,2021,13
hnO2EoGneB8,Watch Me Viz - #MakeoverMonday 2021 Week 14 - Multiclass Classification of Dry Beans,06/04/2021,18.32,0:14:06,153,35.9775,12,2021,14
t5oFgnmC1CU,Watch Me Viz - #MakeoverMonday 2021 Week 15 - Fouls Called Per Game by NBA Referees,13/04/2021,13.5,0:14:31,179,43.3253,9,2021,15
GUVJ7zqOgeo,Watch Me Viz - #MakeoverMonday 2021 Week 16 - The Impact of Covid on Air Travel in America,20/04/2021,17.74,0:16:48,213,59.6539,11,2021,16
I6KVv-PrgQM,Watch Me Viz - #MakeoverMonday 2021 Week 17 - Regional Price Parity Per State,27/04/2021,12.83,0:10:35,141,24.8991,14,2021,17
iVxl-qoPh5s,Watch Me Viz - #MakeoverMonday 2021 Week 18 - CEO-to-Worker Compensation Ratio,04/05/2021,18.61,0:14:31,216,52.2763,19,2021,18
6WUx-4H64tw,Watch Me Viz - #MakeoverMonday 2021 Week 19 - What Does 1GB of Mobile Data Cost in Every Country?,11/05/2021,24.59,0:15:17,150,38.2402,19,2021,19
ZIrNFDXeCPs,Watch Me Viz - #MakeoverMonday 2021 Week 20 - What animal could you beat in a fight?,18/05/2021,14.97,0:10:27,203,35.3909,23,2021,20
XbOCLSgBxQc,Watch Me Viz - #MakeoverMonday 2021 Week 21 - How are wildlife populations changing?,25/05/2021,21.72,0:11:44,161,31.4907,18,2021,21
5NRL8pyYg70,Watch Me Viz - #MakeoverMonday 2021 Week 22 - The Plastic Waste Makers Index,31/05/2021,10.73,0:08:28,179,25.284,26,2021,21
MwtsrcioMHI,Watch Me Viz - #MakeoverMonday 2021 Week 23 - The Percentage of Never Married is on the Rise,08/06/2021,24.16,0:13:03,163,35.4618,21,2021,23
bgyb0WRdJfA,Watch Me Viz - #MakeoverMonday 2021 Week 24 - Which Schools Create the Most Student Loans?,15/06/2021,5.78,0:05:16,700,61.5671,28,2021,24
zNS5qwVrITo,Watch Me Viz - #MakeoverMonday 2021 Week 25 - Stop & Search by Ethnicity in England & Wales,22/06/2021,12.48,0:10:09,246,41.6775,19,2021,25
XW-U4rtWvr8,Watch Me Viz - #MakeoverMonday 2021 Week 26 - How Popular Is Your Birthday?,29/06/2021,10.51,0:09:20,237,36.9322,17,2021,26
3R6iq_dMjFc,Watch Me Viz - #MakeoverMonday 2021 Week 27 - If Only _____ Voted,06/07/2021,15.73,0:10:01,198,33.0673,18,2021,27
mTLfhKxT9Zc,Watch Me Viz (Part 1) - #MakeoverMonday 2021 Week 28 - UK COVID Vaccine Coverage,13/07/2021,34.73,0:06:52,85,9.7415,6,2021,28
Zay2yreqDhE,Watch Me Viz (Part 2) - #MakeoverMonday 2021 Week 28 - England COVID Vaccine Coverage,13/07/2021,15.12,0:07:07,136,16.1495,6,2021,28
JuZ-UYYQ3tE,Watch Me Viz - #MakeoverMonday 2021 Week 29 - UK COVID-19 Mortality Rate by Ethnicity,20/07/2021,20.47,0:11:47,171,33.6263,15,2021,29
BRpBOw1Kmk0,Watch Me Viz - #MakeoverMonday 2021 Week 30 - America's Racial Breakdown by State,27/07/2021,12,0:08:28,201,28.3837,19,2021,30
ZpuX4TLqBxQ,Watch Me Viz - #MakeoverMonday 2021 Week 31 - Bicycle Collisions in London,04/08/2021,10.16,0:09:19,193,30.0036,16,2021,31
r0lXxVuO4JU,Watch Me Viz - #MakeoverMonday 2021 Week 32 - Monthly Mortality Rates in England and Wales,10/08/2021,11.58,0:07:48,129,16.7887,21,2021,32
1qMSB6nSWb0,"Watch Me Viz - #MakeoverMonday 2021 Week 34 - ""Entry-level"" jobs requiring 3+ years of experience",24/08/2021,18.06,0:10:03,160,26.8106,15,2021,34
